iter	Passed	Remaining
0	222	66590
1	376	56149
2	572	56640
3	747	55320
4	933	55082
5	1145	56149
6	1349	56476
7	1547	56500
8	1754	56738
9	1971	57166
10	2202	57869
11	2404	57706
12	2603	57468
13	2798	57167
14	2989	56806
15	3197	56762
16	3405	56694
17	3648	57160
18	3887	57495
19	4122	57716
20	4341	57686
21	4559	57621
22	4772	57478
23	4957	57015
24	5164	56811
25	5376	56654
26	5579	56414
27	5792	56270
28	6029	56344
29	6247	56225
30	6429	55793
31	6643	55640
32	6832	55283
33	7043	55103
34	7249	54891
35	7450	54640
36	7666	54494
37	7866	54238
38	8070	54011
39	8280	53824
40	8477	53551
41	8667	53241
42	8847	52877
43	9051	52661
44	9236	52341
45	9428	52060
46	9622	51796
47	9820	51556
48	10026	51360
49	10226	51131
50	10438	50966
51	10642	50756
52	10826	50456
53	11032	50259
54	11241	50074
55	11443	49862
56	11617	49527
57	11804	49253
58	11984	48951
59	12154	48617
60	12334	48328
61	12508	48017
62	12743	47939
63	12960	47790
64	13152	47553
65	13331	47264
66	13515	47002
67	13708	46771
68	13887	46494
69	14076	46250
70	14251	45965
71	14433	45706
72	14611	45434
73	14804	45212
74	14988	44964
75	15176	44729
76	15374	44526
77	15551	44263
78	15761	44092
79	15999	43998
80	16195	43787
81	16374	43531
82	16551	43272
83	16736	43037
84	16920	42797
85	17102	42556
86	17282	42311
87	17474	42097
88	17659	41865
89	17850	41651
90	18040	41433
91	18243	41247
92	18437	41039
93	18631	40829
94	18825	40622
95	19014	40405
96	19197	40175
97	19387	39961
98	19576	39746
99	19764	39529
100	19954	39316
101	20145	39106
102	20338	38899
103	20516	38665
104	20708	38459
105	20903	38257
106	21084	38031
107	21353	37961
108	21557	37774
109	21743	37556
110	21926	37334
111	22110	37114
112	22300	36905
113	22476	36671
114	22658	36450
115	22829	36213
116	23014	35996
117	23196	35777
118	23367	35542
119	23562	35343
120	23753	35139
121	23942	34932
122	24128	34721
123	24331	34534
124	24526	34336
125	24701	34112
126	24881	33893
127	25071	33690
128	25259	33483
129	25451	33282
130	25629	33064
131	25802	32839
132	25973	32613
133	26145	32389
134	26318	32166
135	26489	31943
136	26660	31720
137	26847	31516
138	27023	31300
139	27192	31077
140	27362	30856
141	27553	30657
142	27733	30448
143	27906	30232
144	28086	30023
145	28261	29809
146	28453	29615
147	28639	29413
148	28821	29208
149	29007	29007
150	29201	28814
151	29382	28609
152	29558	28399
153	29751	28205
154	29927	27996
155	30116	27799
156	30290	27589
157	30468	27383
158	30652	27182
159	30826	26973
160	31010	26772
161	31187	26566
162	31365	26362
163	31549	26162
164	31726	25958
165	31897	25748
166	32072	25543
167	32237	25329
168	32421	25131
169	32589	24921
170	32745	24702
171	32907	24489
172	33075	24280
173	33240	24070
174	33400	23857
175	33560	23645
176	33722	23434
177	33891	23228
178	34054	23020
179	34217	22811
180	34377	22601
181	34539	22393
182	34713	22193
183	34881	21990
184	35042	21783
185	35197	21572
186	35353	21363
187	35506	21153
188	35663	20945
189	35822	20739
190	35974	20530
191	36149	20333
192	36317	20134
193	36473	19928
194	36631	19724
195	36791	19522
196	36961	19325
197	37125	19125
198	37292	18927
199	37457	18728
200	37621	18530
201	37782	18330
202	37943	18130
203	38096	17927
204	38252	17726
205	38422	17532
206	38602	17342
207	38785	17155
208	38956	16961
209	39127	16769
210	39311	16581
211	39496	16394
212	39672	16204
213	39844	16012
214	40015	15820
215	40196	15631
216	40372	15442
217	40542	15250
218	40720	15061
219	40905	14874
220	41075	14683
221	41251	14493
222	41434	14306
223	41625	14122
224	41814	13938
225	41982	13746
226	42147	13554
227	42320	13364
228	42484	13172
229	42657	12982
230	42832	12794
231	43007	12605
232	43199	12422
233	43374	12233
234	43555	12047
235	43728	11858
236	43914	11673
237	44100	11488
238	44275	11300
239	44455	11113
240	44630	10926
241	44821	10742
242	45000	10555
243	45165	10365
244	45329	10175
245	45504	9988
246	45674	9800
247	45838	9611
248	46000	9421
249	46162	9232
250	46335	9045
251	46501	8857
252	46660	8668
253	46819	8479
254	46982	8290
255	47138	8101
256	47297	7913
257	47451	7724
258	47609	7536
259	47779	7350
260	47947	7164
261	48106	6977
262	48264	6790
263	48426	6603
264	48608	6420
265	48780	6235
266	48941	6048
267	49102	5862
268	49260	5676
269	49420	5491
270	49585	5306
271	49749	5121
272	49909	4936
273	50078	4751
274	50249	4568
275	50405	4383
276	50569	4198
277	50822	4021
278	50995	3838
279	51160	3654
280	51324	3470
281	51501	3287
282	51676	3104
283	51844	2920
284	52010	2737
285	52163	2553
286	52329	2370
287	52494	2187
288	52646	2003
289	52799	1820
290	52955	1637
291	53106	1454
292	53264	1272
293	53429	1090
294	53579	908
295	53736	726
296	53901	544
297	54058	362
298	54210	181
299	54363	0
